EXPID,X,Y,rot_rate_model,rot_rate_measured,C
270995,-22.93739,38.93688,0.442,0.0896656760490928,0.3523343239509072
270996,-17.256309,28.56617,0.43,0.30128374896344307,0.12871625103655693
270997,-19.431602,29.87135,0.426,0.032095462699237,0.39390453730076297
270998,-17.651964,32.28782,0.437,-0.07568592494881582,0.5126859249488158
270999,-17.964699,32.37083,0.436,-0.14704080824260746,0.5830408082426075
271000,-14.214459,25.79172,0.434,0.06285707592978658,0.37114292407021343
271001,-15.767805,27.77606,0.433,-0.08561470543919267,0.5186147054391926
271002,-14.349522,25.84374,0.434,-0.0804402180542909,0.5144402180542909
271003,-9.974922,22.14412,0.439,-0.06889697159663101,0.507896971596631
271004,-9.120035,23.6864,0.44,-0.042749621976566544,0.48274962197656657
271005,-11.157353,-8.45281,0.502,0.010530117927337237,0.4914698820726628
271006,-6.962175,13.20247,0.446,0.08953469947046536,0.3564653005295346
271008,-2.655529,21.65706,0.439,-0.21760774339167466,0.6566077433916746
271009,-4.177445,24.44752,0.441,0.20925088451636917,0.23174911548363084
271112,6.356871,6.17691,0.435,0.10143044879227907,0.3335695512077209
271113,6.731496,8.7115,0.431,0.1783057344720461,0.25269426552795393
271114,48.06039,22.20044,0.189,0.1895948042822134,-0.0005948042822133959
271116,6.23771,-21.19192,0.44,-0.1125521061935119,0.5525521061935119
271120,10.002729,-18.64066,0.425,-0.1014948610937189,0.5264948610937189
271122,13.12368,-18.55875,0.41,-0.09566232026336854,0.5056623202633685
271126,-62.76445,66.43684,0.309,0.06909717144987058,0.2399028285501294
271128,-49.9172,60.39345,0.415,-0.07005276417358466,0.48505276417358467
271130,-41.445126,47.32155,0.361,0.006445665052649445,0.35455433494735056
271133,-32.548468,44.7686,0.421,-0.1259785194293137,0.5469785194293137
271134,-30.048469,47.57223,0.462,-0.08311362450264245,0.5451136245026424
271135,-28.032097,42.58435,0.436,-0.1532024195171648,0.5892024195171648
271136,-27.370132,44.88681,0.457,-0.010462685076688339,0.46746268507668837
271137,-25.643766,33.70584,0.409,0.06806441100437373,0.34093558899562626
271138,-20.985295,30.55744,0.422,0.026763610143113743,0.39523638985688625
271140,-17.654898,29.07027,0.43,-0.07587381835076809,0.5058738183507681
271141,-17.762801,32.28285,0.437,-0.09650328185216576,0.5335032818521658
271142,-15.615851,31.37672,0.44,-0.1000199535423845,0.5400199535423845
271143,-13.185739,29.63744,0.441,-0.06844827894019885,0.5094482789401988
271144,-13.38423,28.3492,0.439,-0.05442477854931742,0.49342477854931743
271145,-9.024163,17.69333,0.441,0.07892257374857731,0.3620774262514227
271146,-8.718868,16.04702,0.442,-0.003773136902119127,0.4457731369021191
271149,2.076481,26.93293,0.439,-0.12067997538760025,0.5596799753876003
271253,3.815277,11.2641,0.436,-0.02997652729831084,0.46597652729831085
271254,7.791058,14.23667,0.424,0.29625975774826885,0.12774024225173114
271255,-1.059678,-21.53698,0.478,0.12072715681072785,0.3572728431892721
271257,6.785674,-22.75385,0.433,-0.13227369392139937,0.5652736939213994
271259,11.142795,-20.10354,0.416,-0.08716763637857593,0.5031676363785759
271263,22.106908,-20.07129,0.358,-0.34573561280234477,0.7037356128023448
271265,-64.423646,52.79254,0.079,0.11887569168972445,-0.03987569168972445
271266,-61.891862,61.26487,0.233,-0.20107406141389564,0.43407406141389565
271267,-58.713167,52.70962,0.178,0.0532911984829782,0.1247088015170218
271268,-53.37823,40.70496,0.181,0.11150914409697352,0.06949085590302648
271269,-50.152251,47.76376,0.262,-0.08383043296760101,0.345830432967601
271270,-47.138858,36.31484,0.246,-0.07028883851784373,0.31628883851784373
271271,-42.08291,44.31985,0.332,-0.1403086599220173,0.4723086599220173
271272,-40.290527,40.60328,0.33,-0.221116856097184,0.551116856097184
271273,-38.979966,43.3929,0.357,-0.09027071833680057,0.44727071833680054
271274,-34.146347,52.34096,0.48,-0.05631339513079849,0.5363133951307985
271275,-28.097609,55.40392,0.563,0.1095375406042576,0.45346245939574237
271276,-28.283675,58.58464,0.608,-0.32309928726931825,0.9310992872693182
